Zip,Store,Vendor,Month,Retail,Retail Diff,Sale,Sold,Volume
50002,2,14,1,11.148,3.716,125.856,15.6,800.0
50002,2,14,2,8.48,2.82857142857,145.388571429,22.2857142857,475.0
50002,2,14,3,7.882,2.628,125.04,16.4,570.0
50002,2,14,4,12.565,4.19,75.39,6.0,1250.0
50002,2,14,5,7.13,2.38,171.12,24.0,375.0
50002,2,14,6,14.13,4.9625,147.825,10.5,1500.0
50002,2,14,7,16.745,5.5825,167.745,10.5,1000.0
50002,2,14,8,9.13333333333,3.04666666667,134.6,14.0,958.333333333
50002,2,14,10,15.525,5.23333333333,143.49,9.0,1187.5
50002,2,14,11,16.0625,5.355,141.99,8.5,618.75
50002,2,14,12,7.605,2.535,81.06,11.0,675.0
50003,3,25,1,12.5809090909,4.19454545455,78.0781818182,6.57575757576,859.090909091
50003,3,25,2,12.486,4.17777777778,141.812444444,11.2,970.555555556
50003,3,25,3,13.9925396825,4.66857142857,195.565238095,14.2857142857,1018.65079365
50003,3,25,4,13.1138095238,4.41476190476,125.896190476,10.0,1046.42857143
50003,3,25,5,15.2964285714,5.10071428571,94.1107142857,7.28571428571,1187.5
50003,3,25,6,11.1704,3.7744,124.1152,11.12,736.0
50003,3,25,7,10.7361111111,3.59444444444,88.9572222222,7.44444444444,881.944444444
50003,3,25,8,11.9826315789,3.99578947368,101.594736842,8.84210526316,756.578947368
50003,3,25,10,10.0171428571,3.35666666667,72.8728571429,8.09523809524,790.476190476
50003,3,25,11,12.7711111111,4.25833333333,78.2461111111,7.05555555556,1002.77777778
50003,3,25,12,13.8364,4.6136,160.4172,13.24,840.0
50006,2,22,1,17.39,5.79857142857,101.108571429,6.21428571429,1196.42857143
50006,2,22,2,22.49625,7.515625,100.335,4.5,1140.625
50006,2,22,3,17.0528571429,5.70142857143,77.19,5.0,1107.14285714
50006,2,22,4,14.0093333333,4.67133333333,128.198,10.2,1183.33333333
50006,2,22,5,25.5528571429,8.51857142857,100.868571429,4.42857142857,1392.85714286
50006,2,22,6,17.7875,5.93083333333,92.9266666667,6.08333333333,1052.08333333
50006,2,22,7,21.6211111111,7.26444444444,98.9833333333,4.66666666667,1416.66666667
50006,2,22,8,24.57,8.192,137.74,5.0,1000.0
50006,2,22,9,17.5625,5.855,145.875,7.5,1500.0
50006,2,22,10,15.974,5.36,82.644,4.8,1400.0
50006,2,22,11,11.7883333333,3.93,66.565,6.0,750.0
50006,2,22,12,16.1875,5.3975,114.8175,9.75,1062.5
50009,9,45,1,13.888,4.64069767442,111.897209302,8.91627906977,881.976744186
50009,9,45,2,12.7125523013,4.24606694561,133.840753138,11.2133891213,854.811715481
50009,9,45,3,13.8074917492,4.61132013201,145.236237624,12.0,905.528052805
50009,9,45,4,14.9991729323,5.01172932331,164.978195489,12.7744360902,899.812030075
50009,9,45,5,13.6151282051,4.55897435897,122.697435897,10.094017094,914.957264957
50009,9,45,6,14.9647,5.00225,124.2301,9.125,884.125
50009,9,45,7,16.3825503356,5.47644295302,146.543825503,10.2953020134,959.899328859
50009,9,45,8,13.4254482759,4.48144827586,122.753586207,9.82068965517,913.620689655
50009,9,45,9,14.5372222222,4.84895061728,210.964506173,14.3456790123,917.592592593
50009,9,45,10,14.610862069,4.89267241379,131.050689655,9.84482758621,1054.09482759
50009,9,45,11,15.0448648649,5.02702702703,158.160067568,12.0405405405,897.972972973
50009,9,45,12,16.2101612903,5.425,133.28188172,9.31182795699,871.23655914
50010,21,78,1,15.8998705882,5.30714117647,127.488858824,8.73764705882,899.264705882
50010,21,78,2,15.6876716738,5.23841201717,128.979678112,8.8991416309,936.561158798
50010,21,78,3,15.2278030303,5.08269480519,117.33275974,8.52922077922,950.649350649
50010,21,78,4,16.0015026834,5.34075134168,120.990178891,8.97853309481,921.86940966
50010,21,78,5,16.1419387755,5.39520408163,132.26377551,8.99234693878,905.038265306
50010,21,78,6,16.4355825243,5.5020631068,125.898495146,8.19902912621,931.432038835
50010,21,78,7,15.2200251256,5.0872361809,135.588994975,9.13065326633,934.924623116
50010,21,78,8,15.1402921348,5.06474157303,123.706426966,9.00224719101,927.141573034
50010,21,78,9,15.7060663507,5.23902053712,145.816761453,9.65402843602,920.102685624
50010,21,78,10,15.7630082988,5.27877593361,149.458983402,11.22406639,884.387966805
50010,21,78,11,14.6963087248,4.90823266219,178.069105145,12.1812080537,921.029082774
50010,21,78,12,16.8325445705,5.62471636953,115.725526742,7.60940032415,906.199351702
50014,4,33,1,17.3574576271,5.78762711864,102.939152542,7.22033898305,1021.18644068
50014,4,33,2,17.7238271605,5.91851851852,113.50962963,8.40740740741,1091.04938272
50014,4,33,3,17.5718181818,5.87409090909,103.628636364,8.02272727273,1000.0
50014,4,33,4,15.0409090909,5.01863636364,111.0675,10.9090909091,919.886363636
50014,4,33,5,19.3253846154,6.44346153846,110.954615385,8.61538461538,928.846153846
50014,4,33,6,13.868,4.642,103.9,10.2666666667,825.0
50014,4,33,7,25.0906666667,8.36533333333,97.6613333333,4.53333333333,1266.66666667
50014,4,33,8,16.7233333333,5.57555555556,68.1222222222,5.44444444444,929.62962963
50014,4,33,9,17.0946808511,5.69936170213,110.131702128,7.91489361702,1050.53191489
50014,4,33,10,19.6396226415,6.5541509434,108.129622642,7.7358490566,939.622641509
50014,4,33,11,16.4907142857,5.49892857143,108.003571429,6.53571428571,1026.78571429
50014,4,33,12,17.6838888889,5.98833333333,132.550555556,9.0,1011.11111111
50020,2,22,1,10.765,3.589375,81.444375,9.875,910.9375
50020,2,22,2,12.9352380952,4.32095238095,68.6680952381,5.71428571429,1005.95238095
50020,2,22,3,13.7142857143,4.57238095238,53.9219047619,4.38095238095,1011.9047619
50020,2,22,4,11.09375,3.7,36.6825,3.625,921.875
50020,2,22,5,14.1766666667,4.72666666667,76.13,6.0,1027.77777778
50020,2,22,6,19.0514285714,6.35285714286,67.4671428571,3.28571428571,857.142857143
50020,2,22,7,15.068,5.024,93.128,6.0,1016.66666667
50020,2,22,8,13.3784615385,4.46076923077,78.0407692308,6.76923076923,971.153846154
50020,2,22,9,14.8685714286,4.95714285714,72.5714285714,5.14285714286,1035.71428571
50020,2,22,10,13.3685714286,4.45785714286,72.8828571429,5.92857142857,1062.5
50020,2,22,11,16.03,5.34545454545,63.0590909091,5.18181818182,977.272727273
50020,2,22,12,13.7228571429,4.57571428571,62.9442857143,5.0,857.142857143
50021,12,50,1,15.0005610561,5.01115511551,186.149306931,12.3366336634,989.438943894
50021,12,50,2,15.3940438871,5.13940438871,139.958683386,10.1128526646,982.288401254
50021,12,50,3,14.8743817204,4.96258064516,148.282822581,10.5053763441,1023.38709677
50021,12,50,4,16.0699328859,5.37046979866,166.318590604,12.4228187919,1025.16778523
50021,12,50,6,14.839202454,4.97950920245,188.136871166,14.0613496933,1030.67484663
50021,12,50,7,14.0720915033,4.6960130719,165.248823529,11.8300653595,939.379084967
50021,12,50,8,16.9754545455,5.67054545455,183.229757576,10.1878787879,972.424242424
50021,12,50,9,16.67296875,5.5621875,160.164010417,9.69791666667,968.098958333
50021,12,50,12,16.4940851064,5.51885106383,178.881829787,11.1744680851,971.170212766
50022,7,46,1,14.285877193,4.76377192982,126.734736842,9.35087719298,925.438596491
50022,7,46,2,15.4669918699,5.17195121951,131.525772358,8.53658536585,944.105691057
50022,7,46,3,14.8932191781,4.97417808219,98.2506164384,7.69178082192,1004.96575342
50022,7,46,4,13.8183783784,4.60972972973,91.5137837838,8.01351351351,1005.40540541
50022,7,46,5,12.54,4.18356164384,82.948630137,6.69863013699,996.917808219
50022,7,46,6,17.1098780488,5.72817073171,118.909756098,8.91463414634,995.731707317
50022,7,46,7,14.8771428571,4.96042857143,118.425857143,8.65714285714,1052.85714286
50022,7,46,8,14.6951685393,4.90662921348,102.926179775,7.62921348315,1067.69662921
50022,7,46,9,17.1740816327,5.72591836735,125.505306122,9.28571428571,1057.65306122
50022,7,46,10,17.1353846154,5.74138461538,174.744769231,10.7846153846,1065.0
50022,7,46,11,15.4472916667,5.15385416667,119.221666667,9.125,901.5625
50022,7,46,12,17.2071875,5.7490625,98.62453125,6.25,1001.953125
50023,9,56,1,16.2827559055,5.43358267717,81.3389370079,6.35826771654,883.464566929
50023,9,56,2,17.0057044674,5.67649484536,79.9534707904,5.7560137457,906.958762887
50023,9,56,3,16.3761409396,5.46946308725,97.6651006711,6.56375838926,898.741610738
50023,9,56,4,15.5707189542,5.19921568627,73.2952287582,5.99346405229,927.124183007
50023,9,56,5,18.3668888889,6.14607407407,86.4704444444,6.08148148148,992.222222222
50023,9,56,6,19.5504255319,6.53771276596,97.9573404255,5.97872340426,949.867021277
50023,9,56,7,20.3735882353,6.81505882353,83.6003529412,5.46470588235,875.0
50023,9,56,8,17.6932885906,5.91080536913,77.4465100671,5.36241610738,948.993288591
50023,9,56,9,17.232,5.7455,130.619722222,8.02222222222,871.25
50023,9,56,10,16.2305405405,5.42891891892,112.945878378,7.23648648649,935.324324324
50023,9,56,11,15.2588235294,5.08798319328,82.225210084,6.33613445378,913.025210084
50023,9,56,12,17.3319196429,5.79294642857,104.324464286,7.30803571429,914.0625
50025,3,19,1,11.8689285714,3.96214285714,60.9910714286,5.35714285714,1058.03571429
50025,3,19,2,13.8379310345,4.63965517241,134.964137931,10.275862069,1155.17241379
50025,3,19,3,14.596969697,4.86727272727,66.5063636364,4.81818181818,977.272727273
50025,3,19,4,10.39,3.506,44.832,5.8,925.0
50025,3,19,5,14.9528571429,4.98714285714,47.46,3.85714285714,1035.71428571
50025,3,19,6,13.3152941176,4.44529411765,76.8152941176,6.88235294118,1007.35294118
50025,3,19,7,12.8888888889,4.29777777778,71.05,5.94444444444,881.944444444
50025,3,19,8,11.6333333333,3.9075,67.5975,5.75,843.75
50025,3,19,9,12.2344444444,4.07888888889,73.2677777778,6.22222222222,1166.66666667
50025,3,19,10,13.2625,4.47083333333,41.0966666667,3.33333333333,1229.16666667
50025,3,19,11,12.4947826087,4.17347826087,76.7582608696,7.0,951.086956522
50025,3,19,12,15.47,5.15909090909,156.664545455,13.5454545455,927.272727273
